Register name (as recorded),Certificates,CIN,Group assigned,Relationship,Corroborating statement in source,Source,Evidence status,Evidence tier
Nuziveedu Seeds Limited,682,U74120TG2008PLC074583,NSL (Nuziveedu),Parent,"Same document records NSL as incorporated March 2008 and belonging to the NSL group of Hyderabad, promoted by M Prabhakara Rao. Analytical approach stated as consolidated.","CARE Ratings Ltd, rating rationale press release for Nuziveedu Seeds Limited, 8 April 2025, Annexure-6 'List of entities consolidated'; GLEIF LEI 335800CSJW8DPV6LF405, business registry ID from Ministry of Corporate Affairs (RA000394), status ACTIVE, fully corroborated",Primary,3. Rating agency / court
Prabhat Agri Biotech Limited,127,U01112TG1992PLC014346,NSL (Nuziveedu),Wholly owned subsidiary,"CARE Annexure-6 entry 3: extent of consolidation Full; rationale wholly owned subsidiary. The corporate registry records the registered office as Survey No. 69, Kandlakoya, Gundlapochampally Municipality, Medchal, Rangareddi, Telangana 500100, the same registered office as Nuziveedu Seeds Limited. Incorporated 9 June 1992, status active.","Registrar of Companies, Hyderabad, CIN U01112TG1992PLC014346; CARE Ratings press release, 8 April 2025, Annexure-6",Primary,1. Corporate registry / CIN
Pravardhan Seeds Private Limited,55,U01119TG2008PTC061514,NSL (Nuziveedu),Subsidiary (not wholly owned),"CARE Annexure-6 entry 1: extent of consolidation Full; rationale subsidiary, the only seed entity in the annexure not described as wholly owned. Nuziveedu Seeds Limited's draft red herring prospectus lists Pravardhan Seeds Private Limited among the entities in its restated consolidated financial information. The corporate registry records the registered office as Survey No. 69, Kandlakoya, Gundlapochampally Municipality, Medchal, Rangareddi, Telangana 500100, the same registered office as Nuziveedu Seeds Limited. The registry further records the company's email address at the nslgroup.in domain and Prabhakar Rao Mandava, promoter of Nuziveedu Seeds Limited, among its directors. Incorporated 22 October 2008, status active. The precise shareholding is not disclosed in any company document consulted.","Registrar of Companies, Hyderabad, CIN U01119TG2008PTC061514; CARE Ratings press release, 8 April 2025, Annexure-6; Nuziveedu Seeds Limited draft red herring prospectus",Primary for control; stake not disclosed,1. Corporate registry / CIN
Yaaganti Seeds Private Limited,9,[not verified],NSL (Nuziveedu),Wholly owned subsidiary,Annexure-6 entry 2: extent of consolidation Full; rationale wholly owned subsidiary.,"CARE Ratings Ltd, rating rationale press release for Nuziveedu Seeds Limited, 8 April 2025, Annexure-6 'List of entities consolidated'",Primary,3. Rating agency / court
Asha Agrisciences Private Limited,2,[not verified],NSL (Nuziveedu),"Same entity as Yaaganti Seeds, renamed","The narrative section of the same document names Asha Agrsciences Private Limited as formerly known as Yaganti Seeds Private Limited, while Annexure-6 lists the entity under the former name. The document is internally inconsistent as to which name is used; both refer to one entity.","CARE Ratings Ltd, rating rationale press release for Nuziveedu Seeds Limited, 8 April 2025, Annexure-6 'List of entities consolidated'",Primary,3. Rating agency / court
Asian Agri Genetics Limited,8,[not verified],NSL (Nuziveedu),Wholly owned subsidiary,Annexure-6 entry 4: extent of consolidation Full; rationale wholly owned subsidiary.,"CARE Ratings Ltd, rating rationale press release for Nuziveedu Seeds Limited, 8 April 2025, Annexure-6 'List of entities consolidated'",Primary,3. Rating agency / court
Fortune Hybrid Seeds Limited,5,U01119TG2004PLC042741,NSL (Nuziveedu),Wholly owned subsidiary,"CARE Annexure-6 entry 5: extent of consolidation Full; rationale wholly owned subsidiary. The corporate registry records the registered office as Survey No. 69, Kandlakoya, Gundlapochampally Municipality, Medchal, Rangareddi, Telangana 500100, the same registered office as Nuziveedu Seeds Limited. Incorporated 26 February 2004.","Registrar of Companies, Hyderabad, CIN U01119TG2004PLC042741; CARE Ratings press release, 8 April 2025, Annexure-6",Primary,1. Corporate registry / CIN
Beejsheetal Research Private Limited,57,U01120MH1986PTC038852,Beejsheetal,"Parent, Agrawal family","Registrar of Companies, Mumbai record gives incorporation 4 December 1986 and directors Sameer Suresh Agrawal and Vijay Vasantrao Chindhe.","Registrar of Companies, Mumbai, CIN U01120MH1986PTC038852",Primary,1. Corporate registry / CIN
Bejo Sheetal Seeds Private Limited,7,U01120MH1986PTC038852,Beejsheetal,"Same legal entity, former name","The cause title of the writ petitions describes the petitioner as Beejsheetal Research Pvt. Ltd., formerly known as Bejo Sheetal Seeds Pvt. Ltd. The corporate registry records a single CIN for both names.","High Court of Judicature at Bombay, Bench at Aurangabad, Writ Petition No. 13914 of 2025 and connected petitions, order dated 24 February 2026, neutral citation 2026:BHC-AUG:8168; Registrar of Companies, Mumbai",Primary,1. Corporate registry / CIN
Bayer Crop Science LP,68,"[foreign entity, no CIN]",Bayer,Bayer AG holds a 100 per cent indirect ownership interest,"In its own application to the United States Nuclear Regulatory Commission, Bayer CropScience LP stated that Bayer AG would continue to be its ultimate parent and would continue to hold a 100 per cent indirect ownership interest in Bayer CropScience, following transfer of the controlling interest to KWA Investment II LLC, another wholly owned Bayer AG subsidiary, to satisfy commitments made to the Committee on Foreign Investment in the United States. Bayer AG's own subsidiary schedule lists KWA Investment III LLC and KWA Investment IV LLC, corroborating the KWA holding structure.","Bayer CropScience LP, application to the United States Nuclear Regulatory Commission for consent to indirect transfer of control of NRC License No. 24-03830-01, NRC accession no. ML18341A041 (2018); Bayer AG, Subsidiaries and affiliated companies of Bayer AG and the Bayer Group as of December 31, 2025, published with the Bayer Annual Report 2025 pursuant to Section 285 Nos. 11, 11a and 11b and Section 313 of the German Commercial Code",Primary,2. Company or regulatory filing
