applicant,applicant_stage1,applicant_norm
ACSEN AGRISCIENCE PVT LTD,Acsen Agriscience Private Limited,Acsen Agriscience Private Limited
Advanta Enterprises Limited,Advanta Enterprises Limited,Advanta Enterprises Limited
Advanta India Limited,Advanta India Limited,Advanta India Limited
Agharkar Research Institute,Agharkar Research Institute,Agharkar Research Institute
"Agharkar Research Institute, Pune, Maharashtra",Agharkar Research Institute,Agharkar Research Institute
Agricultural Research and Development Limited Liability Company,Agricultural Research And Development Limited Liability Company,Agricultural Research And Development Limited Liability Company
Agrigenetics Inc.,Agrigenetics Inc,Agrigenetics Inc
Ajeet Seeds Limited,Ajeet Seeds Limited,Ajeet Seeds Limited
Ajeet Seeds Ltd,Ajeet Seeds Limited,Ajeet Seeds Limited
Ajeet Seeds Ltd.,Ajeet Seeds Limited,Ajeet Seeds Limited
Ajeet Seeds Pvt. Ltd.,Ajeet Seeds Private Limited,Ajeet Seeds Limited
Ankur Seeds Pvt. Ltd.,Ankur Seeds Private Limited,Ankur Seeds Private Limited
Asha Agrisciences Pvt. Ltd.,Asha Agrisciences Private Limited,Asha Agrisciences Private Limited
Ashoka Farm Aids,Ashoka Farm Aids,Ashoka Farm Aids
Asian Agri Genetics Ltd,Asian Agri Genetics Limited,Asian Agri Genetics Limited
Asian Agri Genetics Ltd.,Asian Agri Genetics Limited,Asian Agri Genetics Limited
Avani Seeds Limited,Avani Seeds Limited,Avani Seeds Limited
Basant Agro Tech (I) Ltd,Basant Agro Tech (I) Limited,Basant Agro Tech (I) Limited
Bayer Biosciences Pvt. Ltd.,Bayer Biosciences Private Limited,Bayer Biosciences Private Limited
Bayer Crop Science AG,Bayer Crop Science Ag,Bayer Crop Sciences Ag
Bayer Crop Science LP,Bayer Crop Science Lp,Bayer Crop Science LP
Bayer Crop Sciences AG,Bayer Crop Sciences Ag,Bayer Crop Sciences Ag
Bayer CropScience LP,Bayer Cropscience Lp,Bayer Crop Science LP
Bayer CropScience Ltd.,Bayer Cropscience Limited,Bayer Cropscience Limited
Beejsheetal Research Pvt. Ltd.,Beejsheetal Research Private Limited,Beejsheetal Research Private Limited
Bejo Sheetal Seeds Pvt Ltd,Bejo Sheetal Seeds Private Limited,Bejo Sheetal Seeds Private Limited
Bharat Nursery Private Ltd.,Bharat Nursery Private Limited,Bharat Nursery Private Limited
Bharat Nursery Pvt. Ltd.,Bharat Nursery Private Limited,Bharat Nursery Private Limited
Bioseed Research India Private Limited,Bioseed Research India Private Limited,Bioseed Research India Private Limited
Bisco Biosciences Pvt Ltd,Bisco Biosciences Private Limited,Bisco Biosciences Private Limited
C. Meijer B.V.,C Meijer Bv,C Meijer Bv
"Centromere Biosolutions Pvt. Ltd,","Centromere Biosolutions Private Limited,","Centromere Biosolutions Private Limited,"
Cooperatie Agrico U.A.,Cooperatie Agrico Ua,Cooperatie Agrico Ua
Cornell University,Cornell University,Cornell University
Corteva Crop India Private Limited,Corteva Crop India Private Limited,Corteva Crop India Private Limited
Crystal Crop Protection Limited,Crystal Crop Protection Limited,Crystal Crop Protection Limited
Crystal Crop Protection Ltd,Crystal Crop Protection Limited,Crystal Crop Protection Limited
DCM Shriram Limited,Dcm Shriram Limited,DCM Shriram Limited
Daftari Agro Biotech Private Limited,Daftari Agro Biotech Private Limited,Daftari Agro Biotech Private Limited
"Dantiwada Seed Private Limited, 211, Sarkar-V, B/H Ntraj Cinema, Ashram Road, Ahmedabad, Gujrat","Dantiwada Seed Private Limited, 211, Sarkar-V, B/H Ntraj Cinema, Ashram Road, Ahmedabad, Gujrat","Dantiwada Seed Private Limited, 211, Sarkar-V, B/H Ntraj Cinema, Ashram Road, Ahmedabad, Gujrat"
Dayal Seeds Pvt. Ltd.,Dayal Seeds Private Limited,Dayal Seeds Private Limited
Delta Agrigenetics Pvt. Ltd.,Delta Agrigenetics Private Limited,Delta Agrigenetics Private Limited
Den Hartigh BV,Den Hartigh Bv,Den Hartigh Bv
Devgen NV,Devgen Nv,Devgen Nv
Dhanlaxmi Crop Science Limited,Dhanlaxmi Crop Science Limited,Dhanlaxmi Crop Science Limited
Dhanlaxmi Crop Science Private Limited,Dhanlaxmi Crop Science Private Limited,Dhanlaxmi Crop Science Limited
Dinkar Seeds Pvt. Ltd.,Dinkar Seeds Private Limited,Dinkar Seeds Private Limited
Dow AgroSciences India Pvt. Ltd.,Dow Agrosciences India Private Limited,Dow Agrosciences India Private Limited
"Dr. Ram Chet Chaudhary Chairman, PRDF","Dr Ram Chet Chaudhary Chairman, Prdf","Dr Ram Chet Chaudhary Chairman, Prdf"
Eagle Seeds & Biotech Ltd,Eagle Seeds & Biotech Limited,Eagle Seeds & Biotech Limited
East West Seeds India Pvt. Ltd.,East West Seeds India Private Limited,East West Seeds India Private Limited
Emergent Genetics India Pvt Ltd,Emergent Genetics India Private Limited,Emergent Genetics India Private Limited
Foragen Seeds Pvt Ltd,Foragen Seeds Private Limited,Foragen Seeds Private Limited
Fortune Hybrid Seeds Ltd,Fortune Hybrid Seeds Limited,Fortune Hybrid Seeds Limited
Fortune Hybrid Seeds Ltd.,Fortune Hybrid Seeds Limited,Fortune Hybrid Seeds Limited
GMS Agritech Private Limited,Gms Agritech Private Limited,Gms Agritech Private Limited
"Ganga Kaveri Seed Pvt. Ltd., Hyderabad",Ganga Kaveri Seed Private Limited,Ganga Kaveri Seeds Private Limited
Ganga Kaveri Seeds Pvt Ltd,Ganga Kaveri Seeds Private Limited,Ganga Kaveri Seeds Private Limited
Ganga Kaveri Seeds Pvt Ltd.,Ganga Kaveri Seeds Private Limited,Ganga Kaveri Seeds Private Limited
Ganga Kaveri Seeds Pvt. Ltd.,Ganga Kaveri Seeds Private Limited,Ganga Kaveri Seeds Private Limited
Germicopa SAS,Germicopa Sas,Germicopa Sas
Green Gold Agritech (I),Green Gold Agritech (I),Green Gold Agritech (I)
Green Gold Seeds Pvt Ltd,Green Gold Seeds Private Limited,Green Gold Seeds Private Limited
HZPC Holland B.V.,Hzpc Holland Bv,Hzpc Holland Bv
Hytech Seed India Private Limited,Hytech Seed India Private Limited,Hytech Seed India Private Limited
Hytech Seed India Pvt Ltd,Hytech Seed India Private Limited,Hytech Seed India Private Limited
IPM Potato Group Limited,Ipm Potato Group Limited,Ipm Potato Group Limited
IPR B.V.,Ipr Bv,Ipr Bv
IPR BV,Ipr Bv,Ipr Bv
Indo-American Hybrid Seeds (I) Limited,Indo-American Hybrid Seeds (I) Limited,Indo-American Hybrid Seeds (I) Limited
Indo-American Hybrid Seeds (I) Pvt Ltd,Indo-American Hybrid Seeds (I) Private Limited,Indo-American Hybrid Seeds (I) Limited
Indo-American Hybrid Seeds (I) Pvt. Ltd.,Indo-American Hybrid Seeds (I) Private Limited,Indo-American Hybrid Seeds (I) Limited
Instituto de Investigaciones Agropecuarias (INIA),Instituto De Investigaciones Agropecuarias (Inia),Instituto De Investigaciones Agropecuarias (Inia)
JK Agri Genetics Ltd,Jk Agri Genetics Limited,JK Agri Genetics Limited
JK Agri Genetics Ltd.,Jk Agri Genetics Limited,JK Agri Genetics Limited
Kaveri Seed Company Limited,Kaveri Seed Company Limited,Kaveri Seed Company Limited
Kaveri Seed Company Ltd,Kaveri Seed Company Limited,Kaveri Seed Company Limited
Kaveri Seed Company Ltd.,Kaveri Seed Company Limited,Kaveri Seed Company Limited
Krishidhan Seeds Private Limited,Krishidhan Seeds Private Limited,Krishidhan Seeds Private Limited
Krishidhan Seeds Pvt. Ltd.,Krishidhan Seeds Private Limited,Krishidhan Seeds Private Limited
"Krishna Research Seeds Pvt. Ltd. (reissued with applicant name change, old serial no. 1851 (Krishna Seeds Pvt. Ltd.)",Krishna Research Seeds Private Limited,Krishna Research Seeds Private Limited
"Krishna Research Seeds Pvt. Ltd. (reissued with applicant name change, old serial no. 1876 (Krishna Seeds Pvt. Ltd.)",Krishna Research Seeds Private Limited,Krishna Research Seeds Private Limited
LIMAGRAIN INDIA PVT LTD,Limagrain India Private Limited,Limagrain India Private Limited
Limagrain (Thailand) Co. Ltd.,Limagrain (Thailand) Co Limited,Limagrain (Thailand) Co Limited
Limagrain Europe s.a.,Limagrain Europe Sa,Limagrain Europe Sa
Living Seed Technologies LLP,Living Seed Technologies Llp,Living Seed Technologies Llp
Lucky Seeds Private Limited,Lucky Seeds Private Limited,Lucky Seeds Private Limited
M/S Bharati Seeds,Bharati Seeds,Bharati Seeds
M/S DCM Shriram Limited,Dcm Shriram Limited,DCM Shriram Limited
M/S Kaveri Seed Company Limited,Kaveri Seed Company Limited,Kaveri Seed Company Limited
M/S Kaveri Seed Company Ltd.,Kaveri Seed Company Limited,Kaveri Seed Company Limited
M/S Shakti Vardhak Hybrid Seeds Pvt Ltd,Shakti Vardhak Hybrid Seeds Private Limited,Shakti Vardhak Hybrid Seeds Private Limited
M/S Shakti Vardhak Hybrid Seeds Pvt. Ltd.,Shakti Vardhak Hybrid Seeds Private Limited,Shakti Vardhak Hybrid Seeds Private Limited
"M/S Shakti Vardhak Hybris Seeds Pvt. Ltd., Haryana",Shakti Vardhak Hybris Seeds Private Limited,Shakti Vardhak Hybrid Seeds Private Limited
M/S Tulasi Seeds Pvt. Ltd.,Tulasi Seeds Private Limited,Tulasi Seeds Private Limited
M/s Crystal Crop Protection Limited,Crystal Crop Protection Limited,Crystal Crop Protection Limited
MACS Agharkar Research Institute,Macs Agharkar Research Institute,Macs Agharkar Research Institute
Maharashtra Hybrid Seeds Company Limited,Maharashtra Hybrid Seeds Company Limited,Mahyco Private Limited
Maharashtra State Seeds Corporation Ltd.,Maharashtra State Seeds Corporation Limited,Maharashtra State Seeds Corporation Limited
Mahindra Agri Solutions Ltd.,Mahindra Agri Solutions Limited,Mahindra Agri Solutions Limited
Mahindra Agri solutions Ltd,Mahindra Agri Solutions Limited,Mahindra Agri Solutions Limited
Mahyco Private Limited,Mahyco Private Limited,Mahyco Private Limited
Malav Seeds Pvt. Ltd.,Malav Seeds Private Limited,Malav Seeds Private Limited
Mali Agri Tech Private Limited,Mali Agri Tech Private Limited,Mali Agri Tech Private Limited
Metahelix Life Sciences Limited,Metahelix Life Sciences Limited,Metahelix Life Sciences Limited
Moerheim Roses & Trading India Pvt Ltd,Moerheim Roses & Trading India Private Limited,Moerheim Roses & Trading India Private Limited
Moerheim Roses & Trading India Pvt. Ltd.,Moerheim Roses & Trading India Private Limited,Moerheim Roses & Trading India Private Limited
Monsanto Genetics India Private Limited,Monsanto Genetics India Private Limited,Monsanto Genetics India Private Limited
Monsanto Holding Pvt. Ltd.,Monsanto Holding Private Limited,Monsanto Holding Private Limited
Monsanto Holdings Private Limited,Monsanto Holdings Private Limited,Monsanto Holdings Private Limited
Monsanto Holdings Pvt Ltd,Monsanto Holdings Private Limited,Monsanto Holdings Private Limited
Monsanto Holdings Pvt. Ltd.,Monsanto Holdings Private Limited,Monsanto Holdings Private Limited
Monsanto India Limited,Monsanto India Limited,Monsanto India Limited
Mother Dairy Fruit & Vegetable Pvt. Ltd.,Mother Dairy Fruit & Vegetable Private Limited,Mother Dairy Fruit & Vegetable Private Limited
NU Genes Pvt. Ltd.,Nu Genes Private Limited,Nu Genes Private Limited
Namdhari Seeds Pvt Ltd,Namdhari Seeds Private Limited,Namdhari Seeds Private Limited
Nath Bio-Genes (I) Ltd.,Nath Bio-Genes (I) Limited,Nath Bio-Genes (I) Limited
National Dairy Development Board,National Dairy Development Board,National Dairy Development Board
Navbharat Seeds Pvt Ltd,Navbharat Seeds Private Limited,Navbharat Seeds Private Limited
Navbharat Seeds Pvt. Ltd.,Navbharat Seeds Private Limited,Navbharat Seeds Private Limited
Navkar Hybrid Seed Pvt. Ltd.,Navkar Hybrid Seed Private Limited,Navkar Hybrid Seed Private Limited
New Nandi Seeds Corporation,New Nandi Seeds Corporation,New Nandi Seeds Corporation
Nirmal Seeds Private Ltd.,Nirmal Seeds Private Limited,Nirmal Seeds Private Limited
Nirmal Seeds Pvt Ltd,Nirmal Seeds Private Limited,Nirmal Seeds Private Limited
Nirmal Seeds Pvt. Ltd,Nirmal Seeds Private Limited,Nirmal Seeds Private Limited
Nirmal Seeds Pvt. Ltd.,Nirmal Seeds Private Limited,Nirmal Seeds Private Limited
Noble Seeds Pvt. Ltd.,Noble Seeds Private Limited,Noble Seeds Private Limited
Nongwoo Seed India Pvt Ltd,Nongwoo Seed India Private Limited,Nongwoo Seed India Private Limited
Nu Genes Pvt. Ltd.,Nu Genes Private Limited,Nu Genes Private Limited
Nunhems India Private Ltd,Nunhems India Private Limited,Nunhems India Private Limited
Nusun Genetic Research Limited,Nusun Genetic Research Limited,Nusun Genetic Research Limited
Nusun Genetic Research Ltd.,Nusun Genetic Research Limited,Nusun Genetic Research Limited
Nuziveedu Seeds Limited,Nuziveedu Seeds Limited,Nuziveedu Seeds Limited
Nuziveedu Seeds Limited.,Nuziveedu Seeds Limited,Nuziveedu Seeds Limited
Nuziveedu Seeds Ltd,Nuziveedu Seeds Limited,Nuziveedu Seeds Limited
Nuziveedu Seeds Ltd.,Nuziveedu Seeds Limited,Nuziveedu Seeds Limited
"Nuziveedu Seeds Ltd. (reissued with correction in protection period, old serial no. 3908)",Nuziveedu Seeds Limited,Nuziveedu Seeds Limited
Nuziveedu Seeds Pvt. Ltd.,Nuziveedu Seeds Private Limited,Nuziveedu Seeds Limited
"Nuziveedu Seeds Pvt. Ltd. (reissued with denomination change, old serial no. 2332 (SONAL (NO 3114) (IET 18299)))",Nuziveedu Seeds Private Limited,Nuziveedu Seeds Limited
Nuziveedu seeds Limited,Nuziveedu Seeds Limited,Nuziveedu Seeds Limited
Palamoor Seeds Pvt Ltd,Palamoor Seeds Private Limited,Palamoor Seeds Private Limited
Pan Seeds Private Limited,Pan Seeds Private Limited,Pan Seeds Private Limited
Pan Seeds Pvt Ltd,Pan Seeds Private Limited,Pan Seeds Private Limited
Pan Seeds Pvt Ltd.,Pan Seeds Private Limited,Pan Seeds Private Limited
Pan Seeds Pvt. Ltd.,Pan Seeds Private Limited,Pan Seeds Private Limited
PepsiCo India Holding Pvt. Ltd.,Pepsico India Holding Private Limited,Pepsico India Holding Private Limited
Pioneer Overseas Corporation,Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1073)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1252)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1256)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1771)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1777)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1780)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1788)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1874)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1881)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 1950)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2088)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2102)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2103)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2108)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2109)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2110)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2111)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2112)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2115)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2116)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
