applicant,applicant_norm,applicant_entity,owner_group
Astha Agri Genetics,Astha Agri Genetics,Astha Agri Genetics,Astha Agri Genetics
C.I.V. CONSORZIO ITALIANO VIVAISTI-Societa consortile a r.l.,Civ Consorzio Italiano Vivaisti-Societa Consortile A Rl,Civ Consorzio Italiano Vivaisti-Societa Consortile A Rl,Civ Consorzio Italiano Vivaisti-Societa Consortile A Rl
Danespo A/S,Danespo A/S,Danespo A/S,Danespo A/S
Eldorado Agritech Limited,Eldorado Agritech Limited,Eldorado Agritech Limited,Eldorado Agritech Limited
Ellora Natural Seeds Pvt. Ltd.,Ellora Natural Seeds Private Limited,Ellora Natural Seeds Private Limited,Ellora Natural Seeds Private Limited
Fresh Forward Holding B.V.,Fresh Forward Holding Bv,Fresh Forward Holding Bv,Fresh Forward Holding Bv
Germicopa Breeding,Germicopa Breeding,Germicopa Breeding,Germicopa Breeding
HM. CLAUSE,Hm Clause,Hm Clause,Hm Clause
M/s Charoen Pokphand Seeds India Pvt. Ltd.,Charoen Pokphand Seeds India Private Limited,Charoen Pokphand Seeds India Private Limited,Charoen Pokphand Seeds India Private Limited
Prevar Limited,Prevar Limited,Prevar Limited,Prevar Limited
Rasi Seeds (P) Ltd,Rasi Seeds (P) Limited,Rasi Seeds (P) Limited,Rasi Seeds (P) Limited
STET HOLLAND BV,Stet Holland Bv,Stet Holland Bv,Stet Holland Bv
SeedWorks International Ltd.,Seedworks International Limited,Seedworks International Limited,Seedworks International Limited
Syngenta Crop Protection AG,Syngenta Crop Protection Ag,Syngenta Crop Protection Ag,Syngenta Crop Protection Ag
Tamilnadu Newsprint and Papers Limited,Tamilnadu Newsprint And Papers Limited,Tamilnadu Newsprint And Papers Limited,Tamilnadu Newsprint And Papers Limited
