applicant,algo,applicant_norm
Maharashtra Hybrid Seeds Company Limited,Maharashtra Hybrid Seeds Company Limited,Mahyco Private Limited
"Ganga Kaveri Seed Pvt. Ltd., Hyderabad","Ganga Kaveri Seed Private Limited, Hyderabad",Ganga Kaveri Seeds Private Limited
Seed Works International Pvt. Ltd.,Seed Works International Private Limited,Seed Works International Limited
"M/S Shakti Vardhak Hybris Seeds Pvt. Ltd., Haryana","Shakti Vardhak Hybris Seeds Private Limited, Haryana",Shakti Vardhak Hybrid Seeds Private Limited
Shakti Vardhak Sees Pvt. Ltd.,Shakti Vardhak Sees Private Limited,Shakti Vardhak Hybrid Seeds Private Limited
Seed Works International Pvt Ltd.,Seed Works International Private Limited,Seed Works International Limited
Nuziveedu Seeds Pvt. Ltd.,Nuziveedu Seeds Private Limited,Nuziveedu Seeds Limited
Indo-American Hybrid Seeds (I) Pvt. Ltd.,Indo-American Hybrid Seeds (I) Private Limited,Indo-American Hybrid Seeds (I) Limited
Vikram Seeds Pvt. Ltd.,Vikram Seeds Private Limited,Vikram Seeds Limited
"Nuziveedu Seeds Pvt. Ltd. (reissued with denomination change, old serial no. 2332 (SONAL (NO 3114) (IET 18299)))",Nuziveedu Seeds Private Limited,Nuziveedu Seeds Limited
Seed Works International Pvt Ltd,Seed Works International Private Limited,Seed Works International Limited
"Agharkar Research Institute, Pune, Maharashtra","Agharkar Research Institute, Pune, Maharashtra",Agharkar Research Institute
Pravardhan Seeds Pvt Limited,Pravardhan Seeds Pvt Limited,Pravardhan Seeds Private Limited
Dhanlaxmi Crop Science Private Limited,Dhanlaxmi Crop Science Private Limited,Dhanlaxmi Crop Science Limited
Bayer Crop Science AG,Bayer Crop Science AG,Bayer Crop Sciences Ag
Indo-American Hybrid Seeds (I) Pvt Ltd,Indo-American Hybrid Seeds (I) Private Limited,Indo-American Hybrid Seeds (I) Limited
Ajeet Seeds Pvt. Ltd.,Ajeet Seeds Private Limited,Ajeet Seeds Limited
Syngenta India Pvt Ltd,Syngenta India Private Limited,Syngenta India Limited
Bayer CropScience LP,Bayer Cropscience Lp,Bayer Crop Science LP
