s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
1,1 of 2009,1,Extant (Notified),JKBH-26 (MH-595),Pearl millet,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E17 PG 24 07 094,12 February 2009,16 September 2012,14-Jun-2007  to 12-Feb-2009
2,2 of 2009,2,Extant (Notified),JKRH-401 (IET 18181)(JKRH 2000),Rice,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E9 0S23 07 103,12 February 2009,05 February 2022,14-Jun-2007  to 12-Feb-2009
3,3 of 2009,3,Extant (Notified),JKSH-22 (JKSH-161),Sorghum,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E16 SB25 07 110,12 February 2009,07 June 2014,14-Jun-2007  to 12-Feb-2009
4,4 of 2009,4,Extant (Notified),Shekhar-2 (KU300),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 VM2 07 144,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
5,5 of 2009,5,Extant (Notified),KU-91 (Azad Urd-2),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 VM3 07 145,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
6,6 of 2009,6,Extant (Notified),Azad Urd-3 (KU-96-3),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E6 VM6 07 148,12 February 2009,19 September 2021,05-Nov-2007  to 12-Feb-2009
7,7 of 2009,7,Extant (Notified),IPU-94-1 (Uttra),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E7 VM7 07 149,12 February 2009,02 April 2015,05-Nov-2007  to 12-Feb-2009
8,8 of 2009,8,Extant (Notified),KPMR-400 (Indra),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E1 PS1 07 153,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
9,9 of 2009,9,Extant (Notified),Vikas (IPFD-99-33),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 PS2 07 154,12 February 2009,24 August 2020,05-Nov-2007  to 12-Feb-2009
10,10 of 2009,10,Extant (Notified),KPMR-522 (JAY),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 PS3 07 155,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
11,11 of 2009,11,Extant (Notified),Pusa Panna (DDR-27),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E4 PS4 07 156,12 February 2009,14 November 2016,05-Nov-2007  to 12-Feb-2009
12,12 of 2009,12,Extant (Notified),Pusa Prabhat (DDR-23),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E5 PS5 07 157,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
13,13 of 2009,13,Extant (Notified),Prakash (IPFD 1-10),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E6 PS6 07 159,12 February 2009,24 April 2021,05-Nov-2007  to 12-Feb-2009
14,14 of 2009,14,Extant (Notified),ADARSH (IPF 99-25),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E7 PS7 07 160,12 February 2009,03 February 2019,05-Nov-2007  to 12-Feb-2009
15,15 of 2009,15,Extant (Notified),Malviya Matar-15 (HUDP-15),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E8 PS8 07 161,12 February 2009,02 April 2015,05-Nov-2007  to 12-Feb-2009
16,16 of 2009,16,Extant (Notified),Pusa Vishal,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 VR2 07 162,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
17,17 of 2009,17,Extant (Notified),Kamadeva (OUM-11-5),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E5 VR5 07 165,12 February 2009,03 February 2019,05-Nov-2007  to 12-Feb-2009
18,18 of 2009,18,Extant (Notified),Meha (IPM-99-125),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E6 VR6 07 166,12 February 2009,04 November 2020,05-Nov-2007  to 12-Feb-2009
19,19 of 2009,19,Extant (Notified),RMG 344 (DHANU),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E9 VR9 07 169,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
20,20 of 2009,20,Extant (Notified),Co-6 (COGG-902),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E10 VR10 07 170,12 February 2009,12 September 2015,05-Nov-2007  to 12-Feb-2009
21,21 of 2009,21,Extant (Notified),Noori (IPL-81),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E1 LC1 07 190,12 February 2009,01 February 2016,05-Nov-2007  to 12-Feb-2009
22,22 of 2009,22,Extant (Notified),Narendra Masoor-1 (NDL92-1),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 LC2 07 191,12 February 2009,08 September 2012,05-Nov-2007  to 12-Feb-2009
23,23 of 2009,23,Extant (Notified),VL Masoor-126 (VL-126),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 LC3 07 192,12 February 2009,05 February 2022,05-Nov-2007  to 12-Feb-2009
24,24 of 2009,24,Extant (Notified),Azad Masoor-1 (KLS-218),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E4 LC4 07 193,12 February 2009,04 November 2020,05-Nov-2007  to 12-Feb-2009
25,25 of 2009,25,Extant (Notified),DPL-62 (Sheri),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E5 LC5 07 194,12 February 2009,16 September 2012,05-Nov-2007  to 12-Feb-2009
26,26 of 2009,26,Extant (Notified),Utkarsh (IPR 98-5),Kidney Bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E3 PV3 07 202,12 February 2009,04 November 2020,06-Nov-2007  to 12-Feb-2009
27,27 of 2009,27,Extant (Notified),GHB-719 (MH-1236),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E20 PG29 07 203,12 February 2009,05 February 2022,06-Nov-2007  to 12-Feb-2009
28,28 of 2009,28,Extant (Notified),GHB-538 (MH-1049),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E21 PG30  07 204,12 February 2009,24 August 2020,06-Nov-2007  to 12-Feb-2009
29,29 of 2009,29,Extant (Notified),Parbhani Sampada (PPC-6),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E24 PG33 07 207,12 February 2009,01 February 2020,06-Nov-2007  to 12-Feb-2009
30,30 of 2009,30,Extant (Notified),GHB-526 (MSH-105),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E26 PG 35 07 209,12 February 2009,11 March 2018,06-Nov-2007  to 12-Feb-2009
31,31 of 2009,31,Extant (Notified),GHB-558 (MH-946),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E27 PG36 07 210,12 February 2009,11 March 2018,06-Nov-2007  to 12-Feb-2009
32,32 of 2009,32,Extant (Notified),CSH-13,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E19 SB29 07 303,12 February 2009,08 September 2012,12-Nov-2007  to 12-Feb-2009
33,33 of 2009,33,Extant (Notified),CSH-16 (SPH-723),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E21 SB31 07 305,12 February 2009,08 September 2012,12-Nov-2007  to 12-Feb-2009
34,34 of 2009,34,Extant (Notified),CSH-18 (SPH-960),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E23 SB33 07 307,12 February 2009,25 October 2014,12-Nov-2007  to 12-Feb-2009
35,35 of 2009,35,Extant (Notified),HM-5,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E17 ZM38 07 311,12 February 2009,24 August 2020,15-Nov-2007  to 12-Feb-2009
36,36 of 2009,36,Extant (Notified),Pratap Hybrid Maize-1 (EH -50802),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E20 ZM42 07 315,12 February 2009,03 February 2019,15-Nov-2007  to 12-Feb-2009
37,37 of 2009,37,Extant (Notified),Gujarat Makai-2,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E26 ZM49 07 336,12 February 2009,03 May 2010,20-Nov-2007  to 12-Feb-2009
38,38 of 2009,38,Extant (Notified),Pusa Early Hybrid Makka-1 (EH-202892),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E41 ZM64 07 388,12 February 2009,16 September 2012,06-Dec-2007  to 12-Feb-2009
39,39 of 2009,39,Extant (Notified),COH-3,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E43 ZM67 07 400,12 February 2009,16 September 2012,26-Dec-2007  to 12-Feb-2009
40,40 of 2009,40,Extant (Notified),Vivek Maize Hybrid-15 (FH-3176),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E50 ZM74 07 407,12 February 2009,01 February 2020,26-Dec-2007  to 12-Feb-2009
41,41 of 2009,41,Extant (Notified),Azad Urd-1 (KU 91-2),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E8 VM8 07 150,16 April 2009,25 October 2014,05-Nov-2007  to 16-Apr-2009
42,42 of 2009,42,Extant (Notified),Barkha (RBU-38),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E10 VM10 07 152,16 April 2009,25 October 2014,05-Nov-2007  to 16-Apr-2009
43,43 of 2009,43,Extant (Notified),Ganga-8 (Gangotri),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E4 VR4 07 164,16 April 2009,14 November 2016,05-Nov-2007  to 16-Apr-2009
44,44 of 2009,44,Extant (Notified),BPMR 145,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E7 VR7 07 167,16 April 2009,03 September 2017,05-Nov-2007  to 16-Apr-2009
45,45 of 2009,45,Extant (Notified),RMG-492,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E8 VR8 07 168,16 April 2009,11 March 2018,05-Nov-2007  to 16-Apr-2009
46,46 of 2009,46,Extant (Notified),Pant Moong 4 (UPM-92-1),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E11 VR11 07 171,16 April 2009,16 September 2012,05-Nov-2007  to 16-Apr-2009
47,47 of 2009,47,Extant (Notified),HUM-6 (Malviya Janpriya),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E12 VR12 07 172,16 April 2009,14 November 2016,05-Nov-2007  to 16-Apr-2009
48,48 of 2009,48,Extant (Notified),OBGG-52,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E14 VR14 07 174,16 April 2009,03 February 2019,05-Nov-2007  to 16-Apr-2009
49,49 of 2009,49,Extant (Notified),COGG-912,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E16 VR16 07 176,16 April 2009,24 August 2020,05-Nov-2007  to 16-Apr-2009
50,50 of 2009,50,Extant (Notified),Malviya Janchetna (HUM-12),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E17 VR17 07 177,16 April 2009,11 March 2018,05-Nov-2007  to 16-Apr-2009
51,51 of 2009,51,Extant (Notified),Pusa-9531,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E18 VR18 07 178,16 April 2009,01 February 2016,05-Nov-2007  to 16-Apr-2009
52,52 of 2009,52,Extant (Notified),Malviya Jyoti (HUM-1),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E19 VR19 07 179,16 April 2009,07 June 2014,05-Nov-2007  to 16-Apr-2009
53,53 of 2009,53,Extant (Notified),Malviya Jagriti (HUM-2),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E20 VR20 07 180,16 April 2009,02 April 2015,05-Nov-2007  to 16-Apr-2009
54,54 of 2009,54,Extant (Notified),PDM-139,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E21 VR21 07 181,16 April 2009,14 November 2016,05-Nov-2007  to 16-Apr-2009
55,55 of 2009,55,Extant (Notified),CSV 216 (Phule Yashoda)(SPV-1359),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E18 SB28 07 302,16 April 2009,12 September 2015,12-Nov-2007  to 16-Apr-2009
